x;result;tay_iterations;tay_time;cfiterations;cf_time
2711.189;7.9051426;42325;0.000371;263;4e-06
2713.5181;7.9060013;42361;0.000378;263;4e-06
2715.8482;7.9068596;42398;0.000379;264;4e-06
2718.1793;7.9077176;42434;0.000378;264;4e-06
2720.5114;7.9085751;42471;0.000391;264;4e-06
2722.8445;7.9094324;42507;0.000372;264;4e-06
2725.1786;7.9102892;42543;0.000371;264;4e-06
2727.5137;7.9111457;42580;0.00038;264;4e-06
2729.8498;7.9120019;42616;0.00038;264;5e-06
2732.1869;7.9128576;42653;0.000372;264;4e-06
2734.525;7.913713;42689;0.000381;264;4e-06
2736.8641;7.914568;42726;0.000381;265;4e-06
2739.2042;7.9154227;42762;0.000381;265;4e-06
2741.5453;7.916277;42799;0.000385;265;4e-06
2743.8874;7.9171309;42835;0.000382;265;4e-06
2746.2305;7.9179845;42872;0.000374;265;4e-06
2748.5746;7.9188377;42909;0.000383;265;4e-06
2750.9197;7.9196906;42945;0.000383;265;4e-06
2753.2658;7.920543;42982;0.000383;265;4e-06
2755.6129;7.9213952;43019;0.000375;266;4e-06
2757.961;7.9222469;43055;0.000375;266;4e-06
2760.3101;7.9230983;43092;0.000385;266;4e-06
2762.6602;7.9239493;43129;0.000386;266;4e-06
2765.0113;7.9248;43165;0.000376;266;4e-06
2767.3634;7.9256503;43202;0.000385;266;4e-06
2769.7165;7.9265002;43239;0.000379;266;4e-06
2772.0706;7.9273498;43276;0.000387;266;4e-06
2774.4257;7.928199;43312;0.000387;266;4e-06
2776.7818;7.9290479;43349;0.000387;267;4e-06
2779.1389;7.9298964;43386;0.000387;267;4e-06
2781.497;7.9307445;43423;0.00038;267;4e-06
2783.8561;7.9315923;43460;0.000401;267;4e-06
2786.2162;7.9324397;43496;0.00038;267;4e-06
2788.5773;7.9332868;43533;0.000381;267;4e-06
2790.9394;7.9341335;43570;0.00038;267;4e-06
2793.3025;7.9349799;43607;0.000389;267;5e-06
2795.6666;7.9358258;43644;0.000382;267;4e-06
2798.0317;7.9366715;43681;0.00039;268;4e-06
2800.3978;7.9375167;43718;0.00039;268;5e-06
2802.7649;7.9383617;43755;0.000391;268;5e-06
2805.133;7.9392062;43792;0.000391;268;4e-06
2807.5021;7.9400504;43829;0.000391;268;5e-06
2809.8722;7.9408943;43866;0.000392;268;4e-06
2812.2433;7.9417378;43903;0.000391;268;4e-06
2814.6154;7.9425809;43940;0.0004;268;4e-06
